time_in_cycles,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,RUL
1,518.67,642.27,1579.49,1392.25,14.62,21.61,554.8,2388.01,9062.42,1.3,47.24,522.65,2388.0,8142.68,8.3943,0.03,391,2388,100.0,39.01,23.4534,205
2,518.67,641.87,1584.27,1400.17,14.62,21.61,554.15,2387.98,9071.2,1.3,47.02,522.3,2388.0,8146.45,8.4143,0.03,391,2388,100.0,39.01,23.4892,204
3,518.67,641.77,1584.84,1399.0,14.62,21.61,554.26,2387.93,9068.51,1.3,47.25,522.29,2387.96,8148.81,8.4011,0.03,390,2388,100.0,38.98,23.3838,203
4,518.67,642.34,1580.64,1392.93,14.62,21.61,555.37,2388.02,9067.43,1.3,47.13,522.11,2387.98,8147.17,8.4132,0.03,391,2388,100.0,39.12,23.4911,202
5,518.67,641.74,1578.05,1398.49,14.62,21.6,554.49,2387.99,9066.59,1.3,46.96,523.33,2387.97,8151.23,8.4126,0.03,391,2388,100.0,38.89,23.3875,201
6,518.67,641.81,1583.03,1401.96,14.62,21.61,554.39,2387.97,9062.41,1.3,47.23,522.42,2388.0,8145.1,8.3862,0.03,391,2388,100.0,39.03,23.4053,200
7,518.67,641.68,1577.6,1396.25,14.62,21.61,554.54,2388.01,9065.75,1.3,47.05,522.73,2387.94,8146.76,8.3678,0.03,391,2388,100.0,39.25,23.4678,199
8,518.67,641.81,1585.26,1390.45,14.62,21.61,554.75,2388.03,9062.31,1.3,47.22,522.34,2387.98,8149.34,8.4036,0.03,391,2388,100.0,39.02,23.5354,198
9,518.67,642.09,1586.0,1398.85,14.62,21.61,554.87,2387.93,9063.74,1.3,47.17,522.48,2388.0,8148.88,8.4049,0.03,392,2388,100.0,39.0,23.3757,197
10,518.67,642.49,1581.86,1399.05,14.62,21.61,554.47,2388.06,9068.25,1.3,47.18,522.46,2387.95,8147.29,8.4072,0.03,392,2388,100.0,39.04,23.4367,196
11,518.67,642.35,1580.99,1394.52,14.62,21.61,555.03,2387.99,9060.83,1.3,47.13,522.66,2387.97,8152.18,8.3539,0.03,392,2388,100.0,39.02,23.4459,195
12,518.67,642.16,1583.88,1396.99,14.62,21.61,555.04,2387.94,9062.48,1.3,47.22,522.81,2387.99,8150.02,8.4027,0.03,391,2388,100.0,39.09,23.3613,194
